Cell	Cluster	CellType	NumofReads
SRR1779867	3	GM12878	5810
SRR1779868	3	GM12878	39486
SRR1779869	3	GM12878	40982
SRR1779870	3	GM12878	54016
SRR1779871	3	GM12878	1006340
SRR1779872	3	GM12878	71608
SRR1779873	3	GM12878	3200
SRR1779874	3	GM12878	62068
SRR1779875	3	GM12878	18342
SRR1779876	3	GM12878	18838
SRR1779877	3	GM12878	58656
SRR1779878	3	GM12878	27244
SRR1779879	3	GM12878	23698
SRR1779880	3	GM12878	30112
SRR1779881	3	GM12878	4806
SRR1779882	3	GM12878	13468
SRR1779883	3	GM12878	7922
SRR1779884	3	GM12878	29316
SRR1779885	3	GM12878	23046
SRR1779886	3	GM12878	15890
SRR1779887	3	GM12878	3926
SRR1779888	3	GM12878	25632
SRR1779889	3	GM12878	22400
SRR1779890	3	GM12878	14894
SRR1779891	3	GM12878	21088
SRR1779892	3	GM12878	55932
SRR1779893	3	GM12878	18072
SRR1779894	3	GM12878	26600
SRR1779895	3	GM12878	8178
SRR1779896	3	GM12878	40554
SRR1779897	5	GM12878	13136
SRR1779898	3	GM12878	39298
SRR1779899	3	GM12878	22356
SRR1779900	3	GM12878	18084
SRR1779901	3	GM12878	124442
SRR1779902	3	GM12878	50012
SRR1779903	5	GM12878	129468
SRR1779904	3	GM12878	18632
SRR1779905	3	GM12878	9972
SRR1779906	3	GM12878	18590
SRR1779907	3	GM12878	12326
SRR1779908	3	GM12878	59134
SRR1779909	3	GM12878	44942
SRR1779910	3	GM12878	52160
SRR1779911	3	GM12878	3222
SRR1779912	3	GM12878	14814
SRR1779913	3	GM12878	32356
SRR1779914	3	GM12878	65116
SRR1779915	3	GM12878	69254
SRR1779916	3	GM12878	305526
SRR1779917	3	GM12878	14388
SRR1779918	3	GM12878	11566
SRR1779919	3	GM12878	27036
SRR1779920	3	GM12878	19118
SRR1779921	3	GM12878	47508
SRR1779922	3	GM12878	43924
SRR1779923	3	GM12878	22858
SRR1779924	3	GM12878	94018
SRR1779925	3	GM12878	26744
SRR1779926	3	GM12878	16854
SRR1779927	3	GM12878	9100
SRR1779928	3	GM12878	6480
SRR1779929	3	GM12878	28722
SRR1779930	3	GM12878	18408
SRR1779931	3	GM12878	8766
SRR1779932	3	GM12878	12684
SRR1779933	3	GM12878	28872
SRR1779934	3	GM12878	33798
SRR1779935	3	GM12878	17710
SRR1779936	3	GM12878	48484
SRR1779937	3	GM12878	4870
SRR1779938	3	GM12878	13874
SRR1779939	3	GM12878	16896
SRR1779940	3	GM12878	84012
SRR1779941	3	GM12878	60188
SRR1779942	3	GM12878	29054
SRR1779943	3	GM12878	3996
SRR1779944	3	GM12878	38186
SRR1779945	3	GM12878	56674
SRR1779946	3	GM12878	20444
SRR1779947	3	GM12878	45380
SRR1779948	3	GM12878	3556
SRR1779949	3	GM12878	23330
SRR1779950	3	GM12878	71168
SRR1779951	3	GM12878	25360
SRR1779952	3	GM12878	7568
SRR1779953	3	GM12878	9526
SRR1779954	3	GM12878	35374
SRR1779955	3	GM12878	17136
SRR1779956	3	GM12878	34090
SRR1779957	3	GM12878	37668
SRR1779958	3	GM12878	8912
SRR1779959	3	GM12878	33594
SRR1779960	3	GM12878	27878
SRR1779961	3	GM12878	38442
SRR1779962	3	GM12878	33838
SRR1779963	3	GM12878	82992
SRR1779964	3	GM12878	33178
SRR1779965	3	GM12878	28878
SRR1779966	3	GM12878	30560
SRR1779967	3	GM12878	2876
SRR1779968	3	GM12878	699034
SRR1779969	3	GM12878	107858
SRR1779970	3	GM12878	76190
SRR1779971	3	GM12878	21790
SRR1779973	3	GM12878	17658
SRR1779974	3	GM12878	3420
SRR1779975	3	GM12878	89644
SRR1779976	3	GM12878	2876
SRR1779977	3	GM12878	24684
SRR1779978	3	GM12878	20296
SRR1779979	3	GM12878	45886
SRR1779983	3	GM12878	19750
SRR1779984	3	GM12878	24152
SRR1779985	3	GM12878	19210
SRR1779989	3	GM12878	7258
SRR1779990	3	GM12878	28156
SRR1779991	3	GM12878	14676
SRR1779995	3	GM12878	38770
SRR1779996	3	GM12878	14574
SRR1779997	3	GM12878	26146
SRR1779998	3	GM12878	34680
SRR1780001	3	GM12878	9738
SRR1780002	3	GM12878	19844
SRR1780003	3	GM12878	9790
SRR1780007	3	GM12878	23010
SRR1780008	3	GM12878	7432
SRR1780009	3	GM12878	23344
SRR1780010	3	GM12878	29264
SRR1780012	3	GM12878	32510
SRR1780013	3	GM12878	5362
SRR1780014	3	GM12878	18690
SRR1780015	3	GM12878	2804
SRR1780016	3	GM12878	2238
SRR1780017	3	GM12878	36002
SRR1780018	3	GM12878	4218
SRR1780019	3	GM12878	20224
SRR1780020	3	GM12878	15226
SRR1780021	3	GM12878	4936
SRR1780022	3	GM12878	3006
SRR1780023	3	GM12878	4214
SRR1780024	3	GM12878	5860
SRR1780025	3	GM12878	26394
SRR1780026	3	GM12878	16132
SRR1780027	3	GM12878	11216
SRR1780028	3	GM12878	14596
SRR1780029	3	GM12878	2030
SRR1780030	3	GM12878	2026
SRR1780031	3	GM12878	38160
SRR1780032	3	GM12878	13744
SRR1780033	3	GM12878	27470
SRR1780034	3	GM12878	5418
SRR1780035	3	GM12878	5006
SRR1780036	3	GM12878	2784
SRR1780037	3	GM12878	22786
SRR1780038	3	GM12878	35460
SRR1780039	3	GM12878	41874
SRR1780040	3	GM12878	36950
SRR1780041	3	GM12878	47866
SRR1780042	3	GM12878	56826
SRR1780043	3	GM12878	4634
SRR1780044	3	GM12878	3278
SRR1780045	3	GM12878	65868
SRR1780046	3	GM12878	85312
SRR1780047	3	GM12878	6106
SRR1780048	3	GM12878	9112
SRR1780049	3	GM12878	13782
SRR1780050	3	GM12878	148220
SRR1780051	3	GM12878	35884
SRR1780052	3	GM12878	70608
SRR1780053	3	GM12878	81584
SRR1780054	3	GM12878	47856
SRR1780055	3	GM12878	58660
SRR1780056	3	GM12878	9764
SRR1780057	3	GM12878	27784
SRR1780058	3	GM12878	39054
SRR1780059	3	GM12878	8512
SRR1780060	3	GM12878	27762
SRR1780062	3	GM12878	13938
SRR1780063	3	GM12878	10086
SRR1780065	3	GM12878	76666
SRR1780066	3	GM12878	6954
SRR1780166	4	K562	5192
SRR1780168	4	K562	28626
SRR1780170	4	K562	2912
SRR1780172	4	K562	47300
SRR1780174	4	K562	13226
SRR1780176	4	K562	12972
SRR1780178	4	K562	4580
SRR1780180	4	K562	22198
SRR1780182	4	K562	7544
SRR1780184	4	K562	17502
SRR1780186	4	K562	17836
SRR1780188	4	K562	12836
SRR1780190	4	K562	10430
SRR1780192	4	K562	3784
SRR1780194	4	K562	12810
SRR1780196	4	K562	4946
SRR1780198	4	K562	9396
SRR1780200	4	K562	8214
SRR1780202	4	K562	4780
SRR1780204	4	K562	9416
SRR1780206	4	K562	9816
SRR1780208	4	K562	7664
SRR1780210	4	K562	4084
SRR1780212	4	K562	20924
SRR1780214	4	K562	10310
SRR1780216	4	K562	49500
SRR1780218	4	K562	20064
SRR1780220	4	K562	33240
SRR1780222	4	K562	22324
SRR1780224	4	K562	15094
SRR1780226	4	K562	17016
SRR1780228	4	K562	21036
SRR1780230	4	K562	21260
SRR1780232	4	K562	18418
SRR1780234	4	K562	15052
SRR1780236	4	K562	25974
SRR1780238	4	K562	13730
SRR1780240	4	K562	6718
SRR1780242	4	K562	19186
SRR1780244	4	K562	22744
SRR1780246	4	K562	9378
SRR1780248	4	K562	13108
SRR1780250	4	K562	6662
SRR1780252	4	K562	3320
SRR1780254	4	K562	8206
SRR1780256	4	K562	24072
SRR1780258	4	K562	7046
SRR1780260	4	K562	24484
SRR1780262	4	K562	3946
SRR1780264	4	K562	7356
SRR1780266	4	K562	10092
SRR1780268	4	K562	22154
SRR1780270	4	K562	6082
SRR1780272	4	K562	11226
SRR1780274	4	K562	10264
SRR1780276	4	K562	7800
SRR1780278	4	K562	23952
SRR1780280	4	K562	11398
SRR1780282	4	K562	25452
SRR1780284	4	K562	42188
SRR1780286	4	K562	12268
SRR1780288	4	K562	5778
SRR1780290	4	K562	15672
SRR1780292	4	K562	22642
SRR1780294	4	K562	8790
SRR1780296	4	K562	9348
SRR1780298	4	K562	16266
SRR1780300	4	K562	8118
SRR1780302	4	K562	23558
SRR1780304	4	K562	39216
SRR1780306	4	K562	22428
SRR1780308	4	K562	25452
SRR1780310	4	K562	156790
SRR1780312	4	K562	24256
SRR1780314	4	K562	34808
SRR1780316	4	K562	8412
SRR1780318	4	K562	8896
SRR1780320	4	K562	15158
SRR1780324	4	K562	16862
SRR1780326	4	K562	8868
SRR1780328	4	K562	18794
SRR1780330	4	K562	9830
SRR1780332	4	K562	16416
SRR1780334	4	K562	8830
SRR1780336	4	K562	10144
SRR1780338	4	K562	11760
SRR1780340	4	K562	10524
SRR1780342	4	K562	5460
SRR1780344	4	K562	10354
SRR1780348	2	K562	16936
SRR1780352	4	K562	34320
SRR1780354	4	K562	8524
SRR1780356	4	K562	13374
SRR1780358	4	K562	6984
SRR1780360	4	K562	10612
SRR1780362	4	K562	4244
SRR1780366	4	K562	10422
SRR1780370	4	K562	2288
SRR1780374	4	K562	11318
SRR1780376	4	K562	4790
SRR1780380	4	K562	7588
SRR1780384	4	K562	4794
SRR1780386	4	K562	5728
SRR1780388	4	K562	10574
SRR1780390	4	K562	9630
SRR1780392	4	K562	3182
SRR1780396	4	K562	4348
SRR1780400	4	K562	8642
SRR1780402	4	K562	7952
SRR1780404	4	K562	12356
SRR1780406	4	K562	17666
SRR1780408	4	K562	13218
SRR1780410	4	K562	2670
SRR1780416	4	K562	3644
SRR1780418	4	K562	17156
SRR1780420	4	K562	33792
SRR1780422	4	K562	14414
SRR1780424	4	K562	18314
SRR1780428	4	K562	10052
SRR1780430	4	K562	7728
SRR1780432	4	K562	4604
SRR1780434	4	K562	10654
SRR1780436	4	K562	11214
SRR1780438	4	K562	8464
SRR1780440	4	K562	12786
SRR1780444	4	K562	7122
SRR1780446	4	K562	17022
SRR1780448	4	K562	8922
SRR1780450	4	K562	7730
SRR1780452	4	K562	15938
SRR1780454	4	K562	17176
SRR1780456	4	K562	8324
SRR1780458	4	K562	47648
SRR1780460	4	K562	17476
SRR1780462	4	K562	10806
SRR1780466	4	K562	19564
SRR1780470	4	K562	22042
SRR1780472	4	K562	13264
SRR1780474	4	K562	13754
SRR1780478	4	K562	8766
SRR1780480	4	K562	14798
SRR1780482	4	K562	9538
SRR1780484	4	K562	5736
SRR1780494	4	K562	12064
SRR1780496	4	K562	8460
SRR1780498	4	K562	11794
SRR1780500	4	K562	11584
SRR1780502	4	K562	7870
SRR1780504	4	K562	11538
SRR1780506	4	K562	7526
SRR1780508	4	K562	5500
SRR1780510	4	K562	6802
SRR1780512	4	K562	7676
SRR1780514	4	K562	7866
SRR1780518	4	K562	17040
SRR1780520	4	K562	23698
SRR1780522	4	K562	4858
SRR1780528	4	K562	9374
SRR1780530	4	K562	6524
SRR1780534	4	K562	4830
SRR1780536	4	K562	7088
SRR1780538	4	K562	13842
SRR1780544	4	K562	5250
SRR1780550	4	K562	11106
SRR1780552	4	K562	10078
SRR1780556	4	K562	24556
SRR1780558	4	K562	6998
SRR1780560	4	K562	8854
SRR1780562	4	K562	6064
SRR1780564	4	K562	5466
SRR1780566	4	K562	3002
SRR1780568	4	K562	3934
SRR1780570	4	K562	13570
SRR1780572	4	K562	4714
SRR1780574	4	K562	5192
SRR1780580	4	K562	3142
SRR1780582	4	K562	5210
SRR1780584	4	K562	9358
SRR1780586	4	K562	2438
SRR1780590	4	K562	4342
SRR1780594	4	K562	11230
SRR1780596	4	K562	12680
SRR1780598	4	K562	12022
SRR1780602	4	K562	9298
SRR1780604	4	K562	16992
SRR1780614	4	K562	11562
SRR1780616	4	K562	6728
SRR1780618	4	K562	18424
SRR1780620	4	K562	18600
SRR1780622	4	K562	3628
SRR1780624	4	K562	16540
SRR1780626	4	K562	4858
SRR1780628	4	K562	13688
SRR1780630	4	K562	5776
SRR1780632	4	K562	3256
SRR1780634	4	K562	4746
SRR1780636	4	K562	7176
SRR1780638	4	K562	6380
SRR1780640	4	K562	5206
SRR1780642	4	K562	10672
SRR1780644	4	K562	15898
SRR1780646	4	K562	10038
SRR1780648	4	K562	22202
SRR1780650	4	K562	2426
SRR1780652	4	K562	11386
SRR1780654	4	K562	6268
SRR1780656	4	K562	3056
SRR1780664	4	K562	7364
SRR1780666	4	K562	19534
SRR1780668	4	K562	15544
SRR1780670	4	K562	17184
SRR1780672	4	K562	19760
SRR1780674	4	K562	3504
SRR1780676	4	K562	20338
SRR1780682	4	K562	17836
SRR1780684	4	K562	6558
SRR1780686	4	K562	6602
SRR1780688	4	K562	10062
SRR1780690	4	K562	9296
SRR1780692	4	K562	18470
SRR1780694	4	K562	10986
SRR1780696	4	K562	18064
SRR1780698	4	K562	5452
SRR1780700	4	K562	5580
SRR1780702	4	K562	3040
SRR1780704	4	K562	12024
SRR1780708	4	K562	3860
SRR1780712	4	K562	3830
SRR1780714	4	K562	16702
SRR1780718	4	K562	4708
SRR1780726	4	K562	4790
SRR1780730	4	K562	6724
SRR1780732	4	K562	3768
SRR1780736	4	K562	8948
SRR1780738	4	K562	21470
SRR1781027	5	TF1	31580
SRR1781028	5	TF1	26606
SRR1781029	5	TF1	136448
SRR1781030	5	TF1	60604
SRR1781031	5	TF1	73806
SRR1781032	5	TF1	7234
SRR1781033	5	TF1	29424
SRR1781034	5	TF1	116092
SRR1781035	5	TF1	5632
SRR1781036	5	TF1	40074
SRR1781037	5	TF1	19658
SRR1781038	5	TF1	10466
SRR1781039	5	TF1	53302
SRR1781040	5	TF1	17688
SRR1781041	2	TF1	48980
SRR1781042	5	TF1	52064
SRR1781043	5	TF1	25014
SRR1781044	5	TF1	51096
SRR1781045	5	TF1	10660
SRR1781046	5	TF1	18770
SRR1781047	5	TF1	3750
SRR1781048	2	TF1	62012
SRR1781049	5	TF1	52362
SRR1781050	5	TF1	56878
SRR1781051	5	TF1	6860
SRR1781052	5	TF1	70538
SRR1781053	5	TF1	75012
SRR1781054	5	TF1	29362
SRR1781055	5	TF1	72414
SRR1781056	5	TF1	81830
SRR1781057	5	TF1	19568
SRR1781058	5	TF1	67580
SRR1781059	5	TF1	39278
SRR1781060	5	TF1	25404
SRR1781061	5	TF1	4912
SRR1781062	5	TF1	52342
SRR1781063	5	TF1	19872
SRR1781064	5	TF1	7668
SRR1781065	5	TF1	13846
SRR1781066	5	TF1	45006
SRR1781067	5	TF1	79730
SRR1781068	5	TF1	35958
SRR1781069	5	TF1	51410
SRR1781070	5	TF1	53568
SRR1781071	5	TF1	56354
SRR1781072	5	TF1	131606
SRR1781073	5	TF1	111386
SRR1781074	5	TF1	108772
SRR1781075	5	TF1	8928
SRR1781076	2	TF1	17080
SRR1781077	5	TF1	49018
SRR1781078	5	TF1	58844
SRR1781079	5	TF1	49206
SRR1781080	5	TF1	8754
SRR1781081	5	TF1	56696
SRR1781082	5	TF1	45280
SRR1781083	5	TF1	10534
SRR1781084	5	TF1	49252
SRR1781085	2	TF1	7800
SRR1781086	5	TF1	501714
SRR1781087	5	TF1	114986
SRR1781088	5	TF1	5458
SRR1781089	5	TF1	14840
SRR1781090	5	TF1	34418
SRR1781091	2	TF1	28738
SRR1781092	5	TF1	68892
SRR1781093	5	TF1	6444
SRR1781094	5	TF1	40286
SRR1781095	5	TF1	36886
SRR1781096	5	TF1	56570
SRR1781097	2	TF1	102604
SRR1781098	5	TF1	76278
SRR1781099	5	TF1	42186
SRR1781100	2	TF1	66862
SRR1781101	5	TF1	162994
SRR1781102	5	TF1	33446
SRR1781103	5	TF1	42030
SRR1781104	5	TF1	45808
SRR1781105	5	TF1	7388
SRR1781106	5	TF1	65954
SRR1781107	5	TF1	46084
SRR1781108	5	TF1	6132
SRR1781109	5	TF1	6232
SRR1781110	5	TF1	8270
SRR1781111	5	TF1	14110
SRR1781112	5	TF1	10262
SRR1781113	5	TF1	71536
SRR1781114	5	TF1	33004
SRR1781115	5	TF1	6654
SRR1781116	5	TF1	33376
SRR1781117	5	TF1	19650
SRR1781118	5	TF1	14912
SRR1781119	5	TF1	48962
SRR1781120	5	TF1	73192
SRR1781121	5	TF1	7368
