Cell	Cluster	CellType	NumofReads
SRR5353690	1	HSC	15192
SRR5353692	1	HSC	32488
SRR5353693	4	HSC	120398
SRR5353694	1	HSC	33774
SRR5353695	1	HSC	9074
SRR5353696	1	HSC	48066
SRR5353697	1	HSC	8640
SRR5353698	1	HSC	11444
SRR5353699	1	HSC	11192
SRR5353700	1	HSC	7164
SRR5353701	1	HSC	36516
SRR5353702	1	HSC	28744
SRR5353703	1	HSC	33270
SRR5353704	1	HSC	40616
SRR5353705	1	HSC	22304
SRR5353706	1	HSC	31632
SRR5353707	1	HSC	10900
SRR5353708	1	HSC	45786
SRR5353709	1	HSC	9604
SRR5353710	1	HSC	4858
SRR5353711	1	HSC	16946
SRR5353712	1	HSC	10930
SRR5353713	1	HSC	30736
SRR5353714	1	HSC	21376
SRR5353715	1	HSC	40752
SRR5353716	1	HSC	32346
SRR5353717	1	HSC	8410
SRR5353719	1	HSC	5064
SRR5353720	1	HSC	23602
SRR5353721	1	HSC	13570
SRR5353722	1	HSC	12402
SRR5353723	1	HSC	27342
SRR5353724	1	HSC	10694
SRR5353725	1	HSC	9754
SRR5353727	1	HSC	23720
SRR5353728	1	HSC	46858
SRR5353729	1	HSC	20362
SRR5353730	1	HSC	23190
SRR5353731	1	HSC	13668
SRR5353732	1	HSC	31552
SRR5353734	1	HSC	16702
SRR5353735	1	HSC	4884
SRR5353736	1	HSC	14380
SRR5353737	1	HSC	50724
SRR5353738	1	HSC	15358
SRR5353740	1	HSC	30706
SRR5353743	1	HSC	17120
SRR5353744	1	HSC	48100
SRR5353745	1	HSC	6216
SRR5353746	1	HSC	26114
SRR5353747	1	HSC	30206
SRR5353749	1	HSC	44066
SRR5353750	1	HSC	12202
SRR5353751	1	HSC	33268
SRR5353752	1	HSC	4376
SRR5353753	1	HSC	15016
SRR5353756	1	HSC	31274
SRR5353757	1	HSC	92892
SRR5353758	1	HSC	137470
SRR5353759	1	HSC	14598
SRR5353760	1	HSC	9040
SRR5353762	1	HSC	5878
SRR5353775	1	HSC	7020
SRR5353780	1	HSC	18570
SRR5353791	1	HSC	6606
SRR5353796	1	HSC	6406
SRR5353797	1	HSC	6796
SRR5353798	1	HSC	3614
SRR5353799	1	HSC	6184
SRR5353803	1	HSC	9014
SRR5353804	1	HSC	36078
SRR5353805	1	HSC	10222
SRR5353807	1	HSC	18562
SRR5353808	1	HSC	3288
SRR5353809	1	HSC	11932
SRR5353810	1	HSC	5496
SRR5353811	1	HSC	47306
SRR5353812	1	HSC	33560
SRR5353813	1	HSC	6974
SRR5353814	1	HSC	21378
SRR5353816	1	HSC	4164
SRR5353817	1	HSC	12948
SRR5353818	1	HSC	13182
SRR5353819	1	HSC	17738
SRR5353820	1	HSC	4846
SRR5353821	1	HSC	9400
SRR5353822	1	HSC	9062
SRR5353824	1	HSC	6102
SRR5353825	1	HSC	16162
SRR5353826	1	HSC	16330
SRR5353827	1	HSC	21120
SRR5353829	1	HSC	22274
SRR5353831	1	HSC	25512
SRR5353832	1	HSC	4546
SRR5353833	1	HSC	15348
SRR5353834	1	HSC	8566
SRR5353835	1	HSC	56802
SRR5353836	1	HSC	24064
SRR5353837	1	HSC	9392
SRR5353841	1	HSC	12910
SRR5353842	1	HSC	31444
SRR5353843	1	HSC	22196
SRR5353844	1	HSC	3564
SRR5353845	1	HSC	25778
SRR5353847	1	HSC	4650
SRR5353849	1	HSC	13830
SRR5353850	1	HSC	15774
SRR5353852	1	HSC	4552
SRR5353855	1	HSC	5572
SRR5353856	1	HSC	5414
SRR5353857	1	MPP	4594
SRR5353858	1	MPP	5842
