Cell	Cluster	CellType	NumofReads
SRR5353975	1	MPP	17620
SRR5353976	1	MPP	11078
SRR5353977	1	MPP	22516
SRR5353978	1	MPP	5620
SRR5353979	1	MPP	26220
SRR5353980	1	MPP	5386
SRR5353981	1	MPP	38840
SRR5353982	1	MPP	40536
SRR5353983	2	MPP	15478
SRR5353984	1	MPP	16252
SRR5353985	1	MPP	8662
SRR5353986	1	MPP	28416
SRR5353987	1	MPP	11860
SRR5353988	1	MPP	18082
SRR5353989	1	MPP	27302
SRR5353990	1	MPP	14252
SRR5353991	1	MPP	62240
SRR5353992	1	MPP	16466
SRR5353993	1	MPP	7092
SRR5353994	1	MPP	8090
SRR5353995	1	MPP	20336
SRR5353996	1	MPP	10064
SRR5353997	1	MPP	4034
SRR5353998	1	MPP	67952
SRR5353999	1	MPP	5936
SRR5354001	1	MPP	16720
SRR5354002	1	MPP	7510
SRR5354003	1	MPP	23606
SRR5354004	1	MPP	7862
SRR5354005	1	MPP	7026
SRR5354006	1	MPP	20110
SRR5354007	1	MPP	9392
SRR5354008	1	MPP	42856
SRR5354009	2	MPP	11878
SRR5354010	1	MPP	19606
SRR5354011	1	MPP	17270
SRR5354012	1	MPP	4622
SRR5354016	1	MPP	45310
SRR5354017	1	MPP	32722
SRR5354018	1	MPP	22108
SRR5354019	1	MPP	4098
SRR5354020	1	MPP	25304
SRR5354021	1	MPP	13774
SRR5354022	1	MPP	53738
SRR5354023	1	MPP	21246
SRR5354025	1	MPP	15916
SRR5354027	1	MPP	24200
SRR5354030	5	MPP	20542
SRR5354031	5	MPP	13860
SRR5354032	5	MPP	12700
SRR5354033	5	MPP	18650
SRR5354034	5	MPP	13870
SRR5354035	5	MPP	22194
SRR5354037	5	MPP	14612
SRR5354039	5	MPP	20528
SRR5354042	5	MPP	6760
SRR5354043	5	MPP	6550
SRR5354044	5	MPP	11026
SRR5354045	5	MPP	17986
SRR5354048	5	MPP	5408
SRR5354049	5	LMPP	5390
SRR5354050	5	LMPP	25200
SRR5354051	1	LMPP	57698
SRR5354052	1	LMPP	26550
SRR5354053	2	LMPP	37934
SRR5354054	2	LMPP	14682
SRR5354055	1	LMPP	8174
SRR5354056	1	LMPP	20024
SRR5354057	1	LMPP	92356
SRR5354058	1	LMPP	30890
SRR5354059	1	LMPP	72132
SRR5354060	1	LMPP	11312
SRR5354061	1	LMPP	6024
SRR5354062	1	LMPP	12672
SRR5354063	1	LMPP	5362
SRR5354064	1	LMPP	19836
SRR5354065	1	LMPP	6118
SRR5354066	1	LMPP	23774
SRR5354067	1	LMPP	10686
SRR5354068	1	LMPP	3880
SRR5354069	1	LMPP	10972
SRR5354070	1	LMPP	14500
SRR5354071	1	LMPP	26522
SRR5354072	1	LMPP	17620
SRR5354073	2	LMPP	22282
SRR5354074	1	LMPP	17220
SRR5354075	1	LMPP	33274
SRR5354076	1	LMPP	20650
SRR5354077	2	LMPP	19306
SRR5354078	2	LMPP	18746
SRR5354079	1	LMPP	16332
SRR5354080	1	LMPP	94304
SRR5354081	1	LMPP	47044
SRR5354082	1	LMPP	29018
SRR5354083	1	LMPP	39892
SRR5354084	1	LMPP	17922
SRR5354085	1	LMPP	17866
SRR5354086	1	LMPP	7680
SRR5354087	1	LMPP	22552
SRR5354088	1	LMPP	44526
SRR5354089	1	LMPP	29380
SRR5354090	1	LMPP	36360
SRR5354091	2	LMPP	5482
SRR5354092	1	LMPP	10830
SRR5354093	1	LMPP	18846
SRR5354094	1	LMPP	28884
SRR5354095	1	LMPP	16660
SRR5354096	1	LMPP	11976
SRR5354097	1	LMPP	16238
SRR5354098	1	LMPP	39356
SRR5354099	1	LMPP	22802
SRR5354100	1	LMPP	26404
SRR5354102	1	LMPP	130952
SRR5354103	1	LMPP	34748
SRR5354104	1	LMPP	32974
SRR5354105	1	LMPP	39994
SRR5354106	1	LMPP	70390
SRR5354107	1	LMPP	26000
SRR5354108	1	LMPP	33102
SRR5354109	1	LMPP	7202
SRR5354110	1	LMPP	13558
SRR5354111	1	LMPP	15610
SRR5354112	1	LMPP	25802
SRR5354113	1	LMPP	32454
SRR5354114	1	LMPP	20858
SRR5354115	2	LMPP	6992
SRR5354117	1	LMPP	8352
SRR5354118	1	LMPP	47016
SRR5354119	1	LMPP	24520
SRR5354120	1	LMPP	14120
SRR5354121	1	LMPP	14950
SRR5354122	1	LMPP	6076
SRR5354123	1	LMPP	23390
SRR5354124	1	LMPP	28360
SRR5354125	1	LMPP	11638
SRR5354126	1	LMPP	37082
SRR5354127	1	LMPP	6170
SRR5354128	1	LMPP	26100
SRR5354129	1	LMPP	26072
SRR5354130	1	LMPP	29620
SRR5354131	1	LMPP	35486
SRR5354132	1	LMPP	14526
SRR5354133	1	LMPP	35706
SRR5354134	1	LMPP	8770
SRR5354135	1	LMPP	37646
SRR5354136	1	LMPP	30114
SRR5354137	1	LMPP	36184
SRR5354138	1	LMPP	36480
SRR5354139	1	LMPP	10504
SRR5354140	1	LMPP	40532
SRR5354142	1	LMPP	115814
SRR5354143	1	LMPP	52024
SRR5354144	1	LMPP	7548
SRR5354145	1	CMP	8506
SRR5354146	1	CMP	11312
SRR5354147	1	CMP	14252
SRR5354148	1	CMP	14058
SRR5354149	1	CMP	14998
SRR5354150	7	CMP	5880
SRR5354151	1	CMP	102166
SRR5354152	1	CMP	7050
SRR5354153	1	CMP	21166
SRR5354154	1	CMP	10798
SRR5354156	1	CMP	13450
SRR5354157	1	CMP	5502
SRR5354158	1	CMP	19218
SRR5354159	1	CMP	20422
SRR5354160	1	CMP	21838
SRR5354162	1	CMP	29016
SRR5354163	1	CMP	9538
SRR5354164	1	CMP	6612
SRR5354165	1	CMP	10306
SRR5354166	1	CMP	15246
SRR5354167	1	CMP	33930
SRR5354168	1	CMP	9074
SRR5354169	1	CMP	25528
SRR5354170	1	CMP	32782
SRR5354171	1	CMP	29184
SRR5354172	1	CMP	24668
SRR5354173	2	CMP	5190
SRR5354174	1	CMP	22914
SRR5354175	1	CMP	16966
SRR5354176	1	CMP	18104
SRR5354177	1	CMP	9254
SRR5354178	1	CMP	7038
SRR5354179	1	CMP	21214
SRR5354180	1	CMP	9562
SRR5354181	1	CMP	16828
SRR5354182	1	CMP	115104
SRR5354183	1	CMP	25738
SRR5354184	1	CMP	46298
SRR5354186	1	CMP	21870
SRR5354187	1	CMP	20726
SRR5354188	1	CMP	10968
SRR5354189	1	CMP	13754
SRR5354190	1	CMP	36474
SRR5354193	1	CMP	4938
SRR5354194	1	CMP	6700
SRR5354195	1	CMP	5474
SRR5354196	2	CMP	18084
SRR5354197	2	CMP	11094
SRR5354199	1	CMP	24178
SRR5354200	1	CMP	12528
SRR5354201	1	CMP	10640
SRR5354202	1	CMP	17292
SRR5354203	1	CMP	19876
SRR5354204	1	CMP	65118
SRR5354205	1	CMP	29868
SRR5354206	1	CMP	8402
SRR5354207	1	CMP	159468
SRR5354208	1	CMP	99910
SRR5354209	1	CMP	10572
SRR5354210	1	CMP	9074
SRR5354211	1	CMP	29596
SRR5354212	1	CMP	6582
SRR5354213	1	CMP	23004
SRR5354214	1	CMP	12672
SRR5354215	1	CMP	58188
SRR5354216	1	CMP	20490
SRR5354217	1	CMP	101500
SRR5354218	1	CMP	20960
SRR5354219	1	CMP	28114
SRR5354220	1	CMP	20006
SRR5354221	1	CMP	20290
SRR5354222	1	CMP	19750
SRR5354223	1	CMP	5216
SRR5354224	1	CMP	5764
SRR5354225	1	CMP	74198
SRR5354226	1	CMP	5508
SRR5354227	1	CMP	18530
SRR5354228	1	CMP	15108
SRR5354229	1	CMP	41082
SRR5354230	1	CMP	26372
SRR5354231	1	CMP	9126
SRR5354232	1	CMP	7798
SRR5354233	1	CMP	4968
SRR5354234	1	CMP	5274
SRR5354235	1	CMP	20688
SRR5354236	1	CMP	24458
SRR5354237	1	CMP	143566
