Number of peaks: 125647; number of cells: 1224
Number of non-zeros before imputation: 5516980
iteration: 0, objective: 0.04014092290869718, violation: 1.0
iteration: 61, objective: 0.038720845401164834, violation: 0.004500707817696985
iteration: 62, objective: 0.03872068266635418, violation: 0.004410635044022426
iteration: 63, objective: 0.03872052349399504, violation: 0.004324759159734645
iteration: 64, objective: 0.03872036847433091, violation: 0.004244254854544742
iteration: 65, objective: 0.038720218586263795, violation: 0.004159524569242225
iteration: 66, objective: 0.03872007285901852, violation: 0.004079903244720338
iteration: 67, objective: 0.038719933135281374, violation: 0.004001448120541258
iteration: 68, objective: 0.038719796745074364, violation: 0.00390929141163463
iteration: 69, objective: 0.03871966407942654, violation: 0.0038334781012455276
iteration: 70, objective: 0.038719534974290586, violation: 0.003760430639653732
iteration: 71, objective: 0.03871940913462826, violation: 0.00369318057721468
iteration: 72, objective: 0.03871928604336669, violation: 0.0036277023434994012
iteration: 73, objective: 0.03871916556530509, violation: 0.003561530078448583
iteration: 74, objective: 0.03871904754318801, violation: 0.003497700364059622
iteration: 75, objective: 0.03871893189546312, violation: 0.003435605342751487
iteration: 76, objective: 0.038718818556673876, violation: 0.003376377851850319
iteration: 77, objective: 0.03871870744663199, violation: 0.0033198814588063746
iteration: 78, objective: 0.03871859848072984, violation: 0.003265416289097267
iteration: 79, objective: 0.038718491684580456, violation: 0.0032115746043486965
iteration: 80, objective: 0.03871838712044593, violation: 0.003158439359353884
iteration: 81, objective: 0.03871828483615491, violation: 0.0031059478171227336
iteration: 82, objective: 0.03871818490239221, violation: 0.0030531347376479374
iteration: 83, objective: 0.0387180881357192, violation: 0.0029990501185273724
iteration: 84, objective: 0.038717995200071714, violation: 0.002945744687972722
iteration: 85, objective: 0.03871790576593024, violation: 0.002889326897484847
iteration: 86, objective: 0.0387178192934772, violation: 0.0028318272944207173
iteration: 87, objective: 0.03871773577380245, violation: 0.0027754942383873935
iteration: 88, objective: 0.038717655621608865, violation: 0.002718261839222501
iteration: 89, objective: 0.0387175786451904, violation: 0.0026573649399685498
iteration: 90, objective: 0.03871750477735439, violation: 0.0026001618698392897
iteration: 91, objective: 0.03871743395875141, violation: 0.00254374476146614
iteration: 92, objective: 0.0387173660282978, violation: 0.0024883211105827243
iteration: 93, objective: 0.038717300890472234, violation: 0.0024329735954031185
iteration: 94, objective: 0.03871723846656707, violation: 0.0023790650287738493
iteration: 95, objective: 0.038717178616101834, violation: 0.0023265575363517594
iteration: 96, objective: 0.038717121180670354, violation: 0.002275278677114641
iteration: 97, objective: 0.038717065975544855, violation: 0.0022254608560219923
iteration: 98, objective: 0.03871701284495847, violation: 0.002177709270521538
iteration: 99, objective: 0.03871696185167277, violation: 0.002131807828789128
iteration: 100, objective: 0.03871691326412999, violation: 0.0020801482384170556
iteration: 101, objective: 0.03871686645408482, violation: 0.0020362682172904998
iteration: 102, objective: 0.03871682112243009, violation: 0.0019930019814764486
iteration: 103, objective: 0.03871677697316751, violation: 0.001950122598581691
iteration: 104, objective: 0.03871673367756923, violation: 0.0019089212688131946
iteration: 105, objective: 0.03871669093833417, violation: 0.0018687292736819243
iteration: 106, objective: 0.0387166484818211, violation: 0.0018305470833404412
iteration: 107, objective: 0.03871660602516332, violation: 0.0017939515003690852
iteration: 108, objective: 0.038716563288175486, violation: 0.0017593535827785237
iteration: 109, objective: 0.038716520005499654, violation: 0.0017268126912612653
iteration: 110, objective: 0.03871647592739229, violation: 0.0016967238958766565
iteration: 111, objective: 0.03871643080563242, violation: 0.0016691642282432263
iteration: 112, objective: 0.038716384518975314, violation: 0.001642620563570149
iteration: 113, objective: 0.03871633683573481, violation: 0.001617486368459605
iteration: 114, objective: 0.03871628753991242, violation: 0.0015947787227121356
iteration: 115, objective: 0.03871623650288297, violation: 0.0015747803174277887
iteration: 116, objective: 0.038716183643691435, violation: 0.0015566979474767996
iteration: 117, objective: 0.038716129011761115, violation: 0.0015404298585502557
iteration: 118, objective: 0.0387160726341957, violation: 0.0015243753172631191
iteration: 119, objective: 0.03871601450024515, violation: 0.0015097206127226504
