Cell	Cluster	CellType	NumofReads
SRR1779820	2	GM12878	41866
SRR1779821	2	GM12878	63902
SRR1779822	2	GM12878	4776
SRR1779823	2	GM12878	33750
SRR1779824	2	GM12878	4638
SRR1779825	2	GM12878	47398
SRR1779826	2	GM12878	18456
SRR1779827	2	GM12878	37112
SRR1779828	2	GM12878	78100
SRR1779829	2	GM12878	3642
SRR1779830	2	GM12878	47740
SRR1779831	2	GM12878	7594
SRR1779832	2	GM12878	35968
SRR1779833	2	GM12878	10362
SRR1779834	2	GM12878	19972
SRR1779835	2	GM12878	31442
SRR1779836	2	GM12878	12714
SRR1779837	2	GM12878	167652
SRR1779838	2	GM12878	22280
SRR1779839	2	GM12878	22272
SRR1779840	2	GM12878	42784
SRR1779841	2	GM12878	10546
SRR1779842	2	GM12878	49466
SRR1779843	2	GM12878	18348
SRR1779844	2	GM12878	83780
SRR1779845	2	GM12878	10288
SRR1779846	2	GM12878	100748
SRR1779847	2	GM12878	213316
SRR1779848	2	GM12878	7162
SRR1779849	2	GM12878	53846
SRR1779850	2	GM12878	17262
SRR1779851	2	GM12878	166866
SRR1779852	2	GM12878	71220
SRR1779853	2	GM12878	48492
SRR1779854	2	GM12878	21812
SRR1779855	2	GM12878	16082
SRR1779857	2	GM12878	3810
SRR1779858	2	GM12878	66214
SRR1779859	2	GM12878	45878
SRR1779860	2	GM12878	50210
SRR1779861	2	GM12878	33034
SRR1779862	2	GM12878	21110
SRR1779863	2	GM12878	157760
SRR1779864	2	GM12878	78178
SRR1779865	2	GM12878	2902
SRR1779866	2	GM12878	74276
SRR1779867	2	GM12878	5810
SRR1779868	2	GM12878	39486
SRR1779869	2	GM12878	40982
SRR1779870	2	GM12878	54016
SRR1779871	2	GM12878	1006340
SRR1779872	1	GM12878	71608
SRR1779873	1	GM12878	3200
SRR1779874	2	GM12878	62068
SRR1779875	2	GM12878	18342
SRR1779876	2	GM12878	18838
SRR1779877	2	GM12878	58656
SRR1779878	2	GM12878	27244
SRR1779879	2	GM12878	23698
