Cell	Cluster	CellType	NumofReads	SampleName	JC	Replicates
SRR6357861	1	Jurkat_T_cell	10966	GSM2879829	J	2
SRR6357862	1	Jurkat_T_cell	1132	GSM2879830	J	2
SRR6357864	1	Jurkat_T_cell	70834	GSM2879832	J	2
SRR6357865	1	Jurkat_T_cell	4512	GSM2879833	J	2
SRR6357866	1	Jurkat_T_cell	1032	GSM2879834	J	2
SRR6357867	1	Jurkat_T_cell	313854	GSM2879835	J	2
SRR6357868	1	Jurkat_T_cell	18966	GSM2879836	J	3
SRR6357869	1	Jurkat_T_cell	6310	GSM2879837	J	3
SRR6357870	1	Jurkat_T_cell	1320	GSM2879838	J	3
SRR6357872	1	Jurkat_T_cell	7192	GSM2879840	J	3
SRR6357874	1	Jurkat_T_cell	19116	GSM2879842	J	3
SRR6357877	1	Jurkat_T_cell	20496	GSM2879845	J	3
SRR6357878	1	Jurkat_T_cell	138054	GSM2879846	J	3
SRR6357879	1	Jurkat_T_cell	9690	GSM2879847	J	3
SRR6357880	1	Jurkat_T_cell	21174	GSM2879848	J	3
SRR6357881	1	Jurkat_T_cell	43232	GSM2879849	J	3
SRR6357882	1	Jurkat_T_cell	269068	GSM2879850	J	3
SRR6357884	1	Jurkat_T_cell	120688	GSM2879852	J	3
SRR6357885	1	Jurkat_T_cell	23342	GSM2879853	J	3
SRR6357886	1	Jurkat_T_cell	2056	GSM2879854	J	3
SRR6357887	1	Jurkat_T_cell	1376	GSM2879855	J	3
SRR6357889	1	Jurkat_T_cell	25984	GSM2879857	J	3
SRR6357890	1	Jurkat_T_cell	2184	GSM2879858	J	3
SRR6357891	1	Jurkat_T_cell	50422	GSM2879859	J	3
SRR6357893	1	Jurkat_T_cell	26722	GSM2879861	J	3
SRR6357894	1	Jurkat_T_cell	5454	GSM2879862	J	3
SRR6357895	1	Jurkat_T_cell	2188	GSM2879863	J	3
SRR6357896	1	Jurkat_T_cell	16030	GSM2879864	J	3
SRR6357897	1	Jurkat_T_cell	28266	GSM2879865	J	3
SRR6357898	1	Jurkat_T_cell	27358	GSM2879866	J	3
SRR6357899	1	Jurkat_T_cell	8018	GSM2879867	J	3
SRR6357901	1	Jurkat_T_cell	12062	GSM2879869	J	3
SRR6357902	1	Jurkat_T_cell	11914	GSM2879870	J	3
SRR6357903	1	Jurkat_T_cell	4892	GSM2879871	J	3
SRR6357904	1	Jurkat_T_cell	21846	GSM2879872	J	3
SRR6357905	1	Jurkat_T_cell	1268	GSM2879873	J	3
SRR6357906	1	Jurkat_T_cell	18848	GSM2879874	J	3
SRR6357907	2	Jurkat_T_cell	1276	GSM2879875	J	3
